# Teff,BC
4.000000000000000000e+03,-1.344000000000000083e+00
4.100000000000000000e+03,-1.155999999999999917e+00
4.200000000000000000e+03,-9.989999999999999991e-01
4.300000000000000000e+03,-8.649999999999999911e-01
4.400000000000000000e+03,-7.510000000000000009e-01
4.500000000000000000e+03,-6.530000000000000249e-01
4.600000000000000000e+03,-5.679999999999999494e-01
4.700000000000000000e+03,-4.949999999999999956e-01
4.800000000000000000e+03,-4.309999999999999942e-01
4.900000000000000000e+03,-3.760000000000000009e-01
5.000000000000000000e+03,-3.270000000000000129e-01
5.100000000000000000e+03,-2.849999999999999756e-01
5.200000000000000000e+03,-2.479999999999999982e-01
5.300000000000000000e+03,-2.159999999999999976e-01
5.400000000000000000e+03,-1.880000000000000004e-01
5.500000000000000000e+03,-1.630000000000000060e-01
5.600000000000000000e+03,-1.419999999999999873e-01
5.700000000000000000e+03,-1.229999999999999982e-01
5.800000000000000000e+03,-1.069999999999999979e-01
5.900000000000000000e+03,-9.299999999999999933e-02
6.000000000000000000e+03,-8.100000000000000255e-02
6.100000000000000000e+03,-7.099999999999999367e-02
6.200000000000000000e+03,-6.199999999999999956e-02
6.300000000000000000e+03,-5.500000000000000028e-02
6.400000000000000000e+03,-4.900000000000000189e-02
6.500000000000000000e+03,-4.499999999999999833e-02
6.600000000000000000e+03,-4.000000000000000083e-02
6.700000000000000000e+03,-3.500000000000000333e-02
6.800000000000000000e+03,-3.099999999999999978e-02
6.900000000000000000e+03,-2.599999999999999881e-02
7.000000000000000000e+03,-2.299999999999999961e-02
7.100000000000000000e+03,-1.899999999999999953e-02
7.200000000000000000e+03,-1.600000000000000033e-02
7.300000000000000000e+03,-1.200000000000000025e-02
7.400000000000000000e+03,-8.999999999999999320e-03
7.500000000000000000e+03,-7.000000000000000146e-03
7.600000000000000000e+03,-4.000000000000000083e-03
7.700000000000000000e+03,-2.000000000000000042e-03
7.800000000000000000e+03,0.000000000000000000e+00
7.900000000000000000e+03,2.000000000000000042e-03
8.000000000000000000e+03,4.000000000000000083e-03
